Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	HiÖu øng	Gi÷ l¹i b	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh (1=nam; 2=n÷)	ThÓ h×nh (1=nam tiªu chuÈn; 2=nam kh«i ng«; 3=n÷ gîi c¶m; 4=kiÒu n÷)	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi trang bŞ lªn ng­êi sÏ hiÖn tªn lo¹i h×nh	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
Tr¸p TÇm B¶o	0	120	195	0	0		0;195							1	1	1		\image\item\ornament\back±³Ïäa1.spr	\image\item\ornament\back±³Ïäa0.spr	Muèn lµm tèt c«ng viÖc, th× cÇn trang bŞ tèt . Ng­êi t×m kho b¸u ph¶i trang bŞ ®ñ mét bé ®Ïo, xÎng, xóc, bóa, ®ôc, èc,  m¸c, dïi, liÒm		ThÇn bİ		1	2	1			999
Tr¸p TÇm B¶o	0	120	196	0	0		0;196							1	1	2		\image\item\ornament\back±³Ïäa1.spr	\image\item\ornament\back±³Ïäa0.spr	Muèn lµm tèt c«ng viÖc, th× cÇn trang bŞ tèt . Ng­êi t×m kho b¸u ph¶i trang bŞ ®ñ mét bé ®Ïo, xÎng, xóc, bóa, ®ôc, èc,  m¸c, dïi, liÒm		ThÇn bİ		1	2	1			999
Tr¸p TÇm B¶o	0	120	197	0	0		0;197							1	2	3		\image\item\ornament\back±³Ïäa1.spr	\image\item\ornament\back±³Ïäa0.spr	Muèn lµm tèt c«ng viÖc, th× cÇn trang bŞ tèt . Ng­êi t×m kho b¸u ph¶i trang bŞ ®ñ mét bé ®Ïo, xÎng, xóc, bóa, ®ôc, èc,  m¸c, dïi, liÒm		ThÇn bİ		1	2	1			999
Tr¸p TÇm B¶o	0	120	198	0	0		0;198							1	2	4		\image\item\ornament\back±³Ïäa1.spr	\image\item\ornament\back±³Ïäa0.spr	Muèn lµm tèt c«ng viÖc, th× cÇn trang bŞ tèt . Ng­êi t×m kho b¸u ph¶i trang bŞ ®ñ mét bé ®Ïo, xÎng, xóc, bóa, ®ôc, èc,  m¸c, dïi, liÒm		ThÇn bİ		1	2	1			999
Thanh	0	119	227				153;154							1	1	1		\image\item\ornament\µûÁµ»¨¼ç²¿36.spr	\image\item\ornament\µûÁµ»¨¼ç²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Thanh	0	119	228				155;156							1	1	2		\image\item\ornament\µûÁµ»¨¼ç²¿36.spr	\image\item\ornament\µûÁµ»¨¼ç²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Thanh	0	119	229				157;158							1	2	3		\image\item\ornament\µûÁµ»¨¼ç²¿36.spr	\image\item\ornament\µûÁµ»¨¼ç²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Thanh	0	119	230				159;160							1	2	4		\image\item\ornament\µûÁµ»¨¼ç²¿36.spr	\image\item\ornament\µûÁµ»¨¼ç²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Ngäc	0	120	227				0;227							1	1	1		\image\item\ornament\µûÁµ»¨±³²¿36.spr	\image\item\ornament\µûÁµ»¨±³²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Ngäc	0	120	228				0;228							1	1	2		\image\item\ornament\µûÁµ»¨±³²¿36.spr	\image\item\ornament\µûÁµ»¨±³²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Ngäc	0	120	229				0;229							1	2	3		\image\item\ornament\µûÁµ»¨±³²¿36.spr	\image\item\ornament\µûÁµ»¨±³²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Ngäc	0	120	230				0;230							1	2	4		\image\item\ornament\µûÁµ»¨±³²¿36.spr	\image\item\ornament\µûÁµ»¨±³²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
ƒn	0	121	227				153;154							1	1	1		\image\item\ornament\µûÁµ»¨×ã²¿36.spr	\image\item\ornament\µûÁµ»¨×ã²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
ƒn	0	121	228				155;156							1	1	2		\image\item\ornament\µûÁµ»¨×ã²¿36.spr	\image\item\ornament\µûÁµ»¨×ã²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
ƒn	0	121	229				157;158							1	2	3		\image\item\ornament\µûÁµ»¨×ã²¿36.spr	\image\item\ornament\µûÁµ»¨×ã²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
ƒn	0	121	230				159;160							1	2	4		\image\item\ornament\µûÁµ»¨×ã²¿36.spr	\image\item\ornament\µûÁµ»¨×ã²¿120.spr	Mü nh©n tÆng  t«i gÊm vãc, t«i dïng g× ®Ó b¸o ®¸p Thanh Ngäc ƒn?		ThÇn bİ		1	2	1			999
Lª TuyÕt	0	120	235				0;235							1	1	1		\image\item\ornament\ÌÒØ²±³°×a1.spr	\image\item\ornament\ÌÒØ²±³°×a0.spr	L¹c D­¬ng  hoa Lª r¬i nh­ TuyÕt, bë s«ng cá xanh t­oi		ThÇn bİ		1	2	1			999
Lª TuyÕt	0	120	236				0;236							1	1	2		\image\item\ornament\ÌÒØ²±³°×a1.spr	\image\item\ornament\ÌÒØ²±³°×a0.spr	L¹c D­¬ng  hoa Lª r¬i nh­ TuyÕt, bë s«ng cá xanh t­oi		ThÇn bİ		1	2	1			999
Lª TuyÕt	0	120	237				0;237							1	2	3		\image\item\ornament\ÌÒØ²±³°×a1.spr	\image\item\ornament\ÌÒØ²±³°×a0.spr	L¹c D­¬ng  hoa Lª r¬i nh­ TuyÕt, bë s«ng cá xanh t­oi		ThÇn bİ		1	2	1			999
Lª TuyÕt	0	120	238				0;238							1	2	4		\image\item\ornament\ÌÒØ²±³°×a1.spr	\image\item\ornament\ÌÒØ²±³°×a0.spr	L¹c D­¬ng  hoa Lª r¬i nh­ TuyÕt, bë s«ng cá xanh t­oi		ThÇn bİ		1	2	1			999
Lª V©n	0	119	235				161;162							1	1	1		\image\item\ornament\ÌÒØ²¼ç°×a1.spr	\image\item\ornament\ÌÒØ²¼ç°×a0.spr	Lª V©n LiÔu Tù Céng Vi Mang, Xu©n NhËp Nguyªn L©m S¸c NhÊt Ph­¬ng		ThÇn bİ		1	2	1			999
Lª V©n	0	119	236				163;164							1	1	2		\image\item\ornament\ÌÒØ²¼ç°×a1.spr	\image\item\ornament\ÌÒØ²¼ç°×a0.spr	Lª V©n LiÔu Tù Céng Vi Mang, Xu©n NhËp Nguyªn L©m S¸c NhÊt Ph­¬ng		ThÇn bİ		1	2	1			999
Lª V©n	0	119	237				165;166							1	2	3		\image\item\ornament\ÌÒØ²¼ç°×a1.spr	\image\item\ornament\ÌÒØ²¼ç°×a0.spr	Lª V©n LiÔu Tù Céng Vi Mang, Xu©n NhËp Nguyªn L©m S¸c NhÊt Ph­¬ng		ThÇn bİ		1	2	1			999
Lª V©n	0	119	238				167;168							1	2	4		\image\item\ornament\ÌÒØ²¼ç°×a1.spr	\image\item\ornament\ÌÒØ²¼ç°×a0.spr	Lª V©n LiÔu Tù Céng Vi Mang, Xu©n NhËp Nguyªn L©m S¸c NhÊt Ph­¬ng		ThÇn bİ		1	2	1			999
Lª Song	0	121	235				161;162							1	1	1		\image\item\ornament\ÌÒØ²ÍÈ°×a1.spr	\image\item\ornament\ÌÒØ²ÍÈ°×a0.spr	Hµnh Kh¸n §¸n Hy Lª Song Ph¸t, Do H÷u S¬n Hµn Th­¬ng Töu H­		ThÇn bİ		1	2	1			999
Lª Song	0	121	236				163;164							1	1	2		\image\item\ornament\ÌÒØ²ÍÈ°×a1.spr	\image\item\ornament\ÌÒØ²ÍÈ°×a0.spr	Hµnh Kh¸n §¸n Hy Lª Song Ph¸t, Do H÷u S¬n Hµn Th­¬ng Töu H­		ThÇn bİ		1	2	1			999
Lª Song	0	121	237				165;166							1	2	3		\image\item\ornament\ÌÒØ²ÍÈ°×a1.spr	\image\item\ornament\ÌÒØ²ÍÈ°×a0.spr	Hµnh Kh¸n §¸n Hy Lª Song Ph¸t, Do H÷u S¬n Hµn Th­¬ng Töu H­		ThÇn bİ		1	2	1			999
Lª Song	0	121	238				167;168							1	2	4		\image\item\ornament\ÌÒØ²ÍÈ°×a1.spr	\image\item\ornament\ÌÒØ²ÍÈ°×a0.spr	Hµnh Kh¸n §¸n Hy Lª Song Ph¸t, Do H÷u S¬n Hµn Th­¬ng Töu H­		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	17	0	0		33;34							1	1	1		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	18	0	0		35;36							1	1	2		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	19	0	0		37;38							1	2	3		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	20	0	0		39;40							1	2	4		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	17	0	0		33;34							1	1	1		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	18	0	0		35;36							1	1	2		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	19	0	0		37;38							1	2	3		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	20	0	0		39;40							1	2	4		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	17	0	0		0;17							1	1	1		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	18	0	0		0;18							1	1	2		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	19	0	0		0;19							1	2	3		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	20	0	0		0;20							1	2	4		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	21	0	0		41;42							1	1	1		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	22	0	0		43;44							1	1	2		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	23	0	0		45;46							1	2	3		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	24	0	0		47;48							1	2	4		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	21	0	0		41;42							1	1	1		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	22	0	0		43;44							1	1	2		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	23	0	0		45;46							1	2	3		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	24	0	0		47;48							1	2	4		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	21	0	0		0;21							1	1	1		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	22	0	0		0;22							1	1	2		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	23	0	0		0;23							1	2	3		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	24	0	0		0;24							1	2	4		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
